Product_ID,Gender,Age,Product_Category_1,Product_Category_2,Product_Category_3,Purchase
P00144642,M,36-45,1,15,16,15756
P00240242,M,36-45,1,15,16,8130
P00071242,M,46-50,1,15,16,15827
P0097342,M,46-50,1,15,16,15418
P00165442,M,46-50,1,15,16,15801
P00161542,M,55+,2,15,16,10009
P00317642,M,36-45,1,2,17,19559
P00351142,M,18-25,1,8,17,12099
P00351142,M,18-25,1,8,17,15319
P00351142,M,18-25,1,8,17,15900
P00351142,M,18-25,1,8,17,19697
P00321742,M,18-25,5,8,17,5228
P00184942,M,18-25,1,8,17,19662
P00184942,M,18-25,1,8,17,19474
P00351142,F,18-25,1,8,17,19091
P00184942,M,18-25,1,8,17,12006
P00010742,M,26-35,1,8,17,19352
P00184942,F,26-35,1,8,17,11715
P00351142,M,26-35,1,8,17,12037
P00115142,F,26-35,1,8,17,19117
P00184942,M,26-35,1,8,17,12025
P00113342,M,26-35,1,8,17,15745
P00351142,M,36-45,1,8,17,15581
P00113342,M,36-45,1,8,17,15590
P00184942,M,46-50,1,8,17,19215
P00321742,F,46-50,5,8,17,3432
P00010742,F,46-50,1,8,17,15334
P00010742,F,51-55,1,8,17,7988
P00184942,M,51-55,1,8,17,19031
P00034742,M,18-25,5,14,17,5315
P00273442,F,18-25,12,14,17,1387
P00034742,M,18-25,5,14,17,8843
P00026042,F,26-35,8,14,17,3904
P00085242,F,26-35,8,14,17,8034
P00130742,M,26-35,1,14,17,19251
P00085242,F,26-35,8,14,17,6129
P00188742,M,36-45,8,14,17,7810
P00086042,M,36-45,8,14,17,8009
P00273442,F,46-50,12,14,17,1414
P00026042,F,46-50,8,14,17,8066
P00086042,M,46-50,8,14,17,8108
P00073842,M,18-25,1,15,17,15454
P00246142,M,36-45,1,15,17,19240
P00073842,M,51-55,1,15,17,15172
P00128042,M,18-25,1,5,18,15312
P00121342,F,26-35,1,5,18,15795
P00281742,M,26-35,5,8,18,8696
P00057742,M,36-45,2,8,18,16061
P00347242,M,55+,8,10,13,9703
P00118442,F,18-25,1,2,13,19672
P00120042,M,18-25,1,2,13,18974
P00110942,M,18-25,1,2,13,19462
P00110942,M,18-25,1,2,13,11516
P00197342,M,18-25,1,2,13,7924
P00193542,M,26-35,1,2,13,15227
P00193542,M,26-35,1,2,13,19278
P00183442,F,26-35,1,2,13,7996
P0098342,M,26-35,1,2,13,19446
P00183442,M,26-35,1,2,13,19406
P00193542,M,26-35,1,2,13,19252
P00118442,F,36-45,1,2,13,15347
P00120042,M,36-45,1,2,13,15697
P00118442,M,51-55,1,2,13,15671
P00248442,F,0-17,3,4,13,13337
P00172842,F,0-17,3,4,13,13667
P00282142,F,0-17,3,4,13,5349
P00187742,F,0-17,2,4,13,16320
P00060242,F,0-17,3,4,13,11055
P00068042,F,0-17,3,4,13,5597
P00195942,M,18-25,3,4,13,10681
P0096942,F,18-25,3,4,13,5755
P00059542,M,26-35,2,4,13,9734
P00015342,M,26-35,2,4,13,6407
P00058342,F,36-45,3,4,13,10946
P00249642,M,0-17,3,5,13,11023
P00106742,F,0-17,3,5,13,10578
P0094142,F,18-25,4,5,13,697
P00047242,M,18-25,1,5,13,7802
P00199042,M,18-25,1,5,13,15624
P00055642,M,26-35,4,5,13,1447
P00130442,M,26-35,3,5,13,8091
P0094142,M,26-35,4,5,13,1446
P00249642,F,26-35,3,5,13,8314
P00316742,M,26-35,4,5,13,2750
P00250542,M,26-35,4,5,13,1454
P00349942,M,36-45,1,5,13,15511
P00346942,M,36-45,1,5,13,8143
P00219242,M,46-50,4,5,13,811
P00057342,M,46-50,4,5,13,2846
P00106742,M,46-50,3,5,13,10767
P00316742,M,46-50,4,5,13,3524
P00190242,F,51-55,4,5,13,2079
P00047242,M,51-55,1,5,13,19608
P00036542,M,51-55,4,5,13,2141
P00145842,M,55+,4,5,13,1463
P00138542,F,18-25,5,6,13,7030
P00350342,M,18-25,1,6,13,4290
P00085042,M,18-25,5,6,13,7036
P00304242,M,26-35,1,6,13,15246
P00241542,M,26-35,1,6,13,3843
P00350342,M,26-35,1,6,13,15165
P00138542,F,26-35,5,6,13,8707
P00138542,M,36-45,5,6,13,8771
P00188442,M,18-25,5,7,13,6873
P00334242,F,0-17,1,8,13,18982
P0094942,F,0-17,4,8,13,2122
P00213242,M,18-25,5,8,13,8797
P00218242,M,18-25,5,8,13,5384
P00079542,M,18-25,5,8,13,1784
P00260042,M,18-25,5,8,13,6912
P00135742,M,18-25,6,8,13,12131
P00163142,M,18-25,6,8,13,20595
P00170642,M,18-25,5,8,13,6886
P00209842,M,18-25,5,8,13,8734
P00162642,M,18-25,5,8,13,6896
P00118842,M,18-25,5,8,13,7031
P00135742,M,18-25,6,8,13,19977
P00284642,M,18-25,5,8,13,6951
P00008542,M,18-25,2,8,13,9614
P00028242,M,18-25,6,8,13,4597
P00028842,M,18-25,6,8,13,15956
P00231142,M,18-25,5,8,13,5280
P00135742,M,26-35,6,8,13,16662
P00365242,M,26-35,5,8,13,6865
P00334242,M,26-35,1,8,13,19653
P00275142,M,26-35,5,8,13,5380
P00333042,M,26-35,5,8,13,3594
P00161942,M,26-35,5,8,13,5407
P00205642,F,26-35,5,8,13,6940
P00101342,M,26-35,6,8,13,16093
P00331542,F,26-35,5,8,13,6904
P00178942,F,26-35,5,8,13,8624
P00332342,F,26-35,5,8,13,7134
P00318742,M,26-35,1,8,13,11518
P00319342,M,26-35,5,8,13,8685
P00280742,M,26-35,6,8,13,16420
P00334242,M,26-35,1,8,13,15365
P00265242,M,26-35,5,8,13,8652
P00049842,M,26-35,1,8,13,15641
P00022942,M,26-35,5,8,13,5298
P00329442,M,26-35,5,8,13,8678
P00028842,M,26-35,6,8,13,20214
P00028242,M,26-35,6,8,13,20538
P00031442,F,26-35,5,8,13,8575
P00322042,M,26-35,5,8,13,6971
P00136542,M,26-35,5,8,13,7013
P0099342,M,36-45,5,8,13,2012
P00177942,M,36-45,5,8,13,7053
P00350042,M,36-45,6,8,13,12409
P00209842,F,36-45,5,8,13,7040
P00334242,M,36-45,1,8,13,3829
P00163342,M,36-45,6,8,13,16456
P00033642,M,36-45,5,8,13,8798
P00205642,M,36-45,5,8,13,6967
P00323842,M,36-45,2,8,13,16208
P00298142,M,36-45,5,8,13,6962
P00177942,M,36-45,5,8,13,3522
P00327242,M,46-50,5,8,13,5280
P00115242,M,46-50,5,8,13,1728
P00020042,F,46-50,5,8,13,3715
P00318742,F,46-50,1,8,13,15426
P00209842,F,46-50,5,8,13,6852
P00303242,F,46-50,5,8,13,8598
P00112442,M,46-50,6,8,13,16272
P00317442,M,51-55,1,8,13,15289
P00322042,M,55+,5,8,13,5248
P00223942,F,55+,5,8,13,8804
P00136542,M,55+,5,8,13,3667
P00199442,F,26-35,5,9,13,6889
P00199442,M,26-35,5,9,13,7038
P00259342,M,26-35,5,9,13,8655
P00259342,F,36-45,5,9,13,8718
P00199442,M,51-55,5,9,13,8812
P00344242,F,26-35,8,10,13,10058
P00320442,F,36-45,6,10,13,15957
P00320442,F,36-45,6,10,13,8667
P00344242,M,46-50,8,10,13,4035
P00344242,M,46-50,8,10,13,3921
P00251342,M,0-17,5,11,13,8773
P00276642,M,18-25,8,11,13,4152
P00251242,M,26-35,5,11,13,5254
P00118742,F,26-35,5,11,13,8690
P00182442,M,26-35,5,11,13,5252
P00251242,F,26-35,5,11,13,8775
P00251342,M,26-35,5,11,13,5415
P00128942,M,26-35,1,11,13,15419
P00251342,M,26-35,5,11,13,5432
P00118742,F,36-45,5,11,13,8886
P00276642,M,36-45,8,11,13,5848
P00251342,F,46-50,5,11,13,5352
P00220242,M,18-25,3,12,13,3055
P00265742,M,26-35,5,12,13,5417
P00186942,F,36-45,5,12,13,8770
P00336142,F,36-45,5,12,13,5284
P00222142,M,18-25,5,13,13,7092
P00248342,M,18-25,8,13,13,2159
P00189642,F,26-35,8,13,13,8027
P00248342,F,26-35,8,13,13,7797
P00119342,F,36-45,10,13,13,23792
P00302842,M,46-50,8,13,13,7852
P00085442,F,0-17,12,14,13,1057
P00117442,M,0-17,5,14,13,7011
P00129542,F,0-17,8,14,13,7821
P00238542,F,0-17,5,14,13,7088
P00157542,F,18-25,8,14,13,8011
P00115642,M,18-25,8,14,13,7801
P00313042,M,18-25,5,14,13,5168
P00133742,M,18-25,5,14,13,3449
P00247042,F,18-25,5,14,13,8593
P00330442,F,18-25,5,14,13,7165
P00143142,M,18-25,8,14,13,7763
P00260142,M,18-25,5,14,13,5432
P00328042,F,18-25,8,14,13,2233
P00270042,F,18-25,8,14,13,2114
P00121642,M,18-25,5,14,13,3638
P00150742,M,18-25,8,14,13,5936
P00034842,M,18-25,5,14,13,1754
P00322342,M,18-25,5,14,13,3611
P00035242,M,18-25,8,14,13,4012
P00135842,M,18-25,5,14,13,3759
P00184142,M,18-25,8,14,13,8115
P00049642,M,18-25,8,14,13,9849
P00303642,M,18-25,8,14,13,9812
P00220442,M,26-35,5,14,13,8584
P00161442,M,26-35,5,14,13,6973
P00252042,M,26-35,5,14,13,5356
P00023042,M,26-35,5,14,13,5195
P00144242,M,26-35,5,14,13,5220
P00223242,M,26-35,5,14,13,7048
P00103042,M,26-35,1,14,13,15849
P00085442,M,26-35,12,14,13,1752
P00003942,M,26-35,5,14,13,6987
P00001742,F,26-35,8,14,13,5857
P00176842,F,26-35,12,14,13,1735
P00184142,M,26-35,8,14,13,9756
P00045842,M,26-35,5,14,13,3743
P00012542,F,26-35,5,14,13,6954
P00058442,F,26-35,5,14,13,7041
P00121642,F,26-35,5,14,13,8778
P00002542,M,26-35,8,14,13,4072
P00150342,M,26-35,8,14,13,6188
P00207042,M,26-35,5,14,13,7064
P00052642,F,26-35,5,14,13,7011
P00021642,F,26-35,8,14,13,6089
P00007342,F,26-35,8,14,13,5844
P00141842,F,26-35,5,14,13,7179
P00197442,F,26-35,8,14,13,1990
P00048642,F,26-35,5,14,13,5471
P00085442,M,26-35,12,14,13,1434
P00217742,F,36-45,5,14,13,8702
P00313042,M,36-45,5,14,13,5183
P00121642,F,36-45,5,14,13,8599
P00220442,M,36-45,5,14,13,8858
P00229342,M,36-45,5,14,13,2028
P00085542,F,36-45,5,14,13,8645
P00194542,M,36-45,8,14,13,8081
P00001742,M,36-45,8,14,13,9712
P00223242,M,36-45,5,14,13,5304
P00279342,M,36-45,5,14,13,5314
P00217742,M,36-45,5,14,13,3631
P00212542,M,36-45,8,14,13,4018
P00119542,M,36-45,8,14,13,2209
P00227742,F,36-45,5,14,13,7110
P00288442,F,36-45,5,14,13,6866
P00141442,M,36-45,8,14,13,6123
P00223242,M,36-45,5,14,13,5185
P00129542,M,46-50,8,14,13,5839
P00129542,M,46-50,8,14,13,6153
P00309542,M,46-50,5,14,13,5319
P00066442,F,46-50,5,14,13,6950
P00212542,F,46-50,8,14,13,4028
P00045842,F,46-50,5,14,13,6986
P00040442,F,46-50,5,14,13,6862
P00045542,M,46-50,5,14,13,6975
P00058442,F,46-50,5,14,13,6938
P00002542,F,46-50,8,14,13,6010
P00312942,M,46-50,8,14,13,9821
P00058442,F,51-55,5,14,13,8851
P00083842,F,51-55,5,14,13,7159
P00273642,F,51-55,8,14,13,9695
P00002542,F,51-55,8,14,13,5900
P00117442,M,55+,5,14,13,8596
P00157542,M,55+,8,14,13,9788
P00223242,M,55+,5,14,13,5354
P00090842,M,18-25,11,15,13,7552
P00042242,M,18-25,5,15,13,3497
P00019142,M,18-25,11,15,13,3068
P00346342,M,18-25,1,15,13,11400
P00226442,M,18-25,11,15,13,3172
P00042242,M,26-35,5,15,13,5411
P00003242,M,26-35,8,15,13,6027
P00221542,M,26-35,5,15,13,7040
P00183242,M,26-35,5,15,13,5180
P00220142,M,26-35,1,15,13,11935
P00070542,M,26-35,3,15,13,13689
P00246742,M,26-35,11,15,13,1629
P00310142,M,26-35,5,15,13,6931
P00070542,M,26-35,3,15,13,13293
P00346142,M,26-35,1,15,13,19247
P00117942,F,26-35,5,15,13,7193
P00217242,M,26-35,1,15,13,12009
P00335442,M,26-35,1,15,13,7880
P00323942,M,26-35,8,15,13,9993
P00100642,M,26-35,5,15,13,5429
P00042942,M,26-35,1,15,13,15851
P00233542,M,36-45,1,15,13,19068
P00346142,F,36-45,1,15,13,15208
P00355142,M,36-45,1,15,13,15651
P00323942,F,36-45,8,15,13,9832
P00178642,F,36-45,5,15,13,7055
P00065342,M,36-45,2,15,13,6368
P00346142,M,46-50,1,15,13,15854
P00140742,M,46-50,1,15,13,15912
P00145442,M,46-50,8,15,13,7888
P00140742,M,46-50,1,15,13,11799
P00233542,M,46-50,1,15,13,15853
P00269542,M,46-50,11,15,13,6073
P00100642,M,51-55,5,15,13,8609
P00361842,F,0-17,15,16,13,17271
P00044142,F,18-25,8,16,13,5912
P0098242,M,18-25,1,16,13,15517
P00327842,F,18-25,8,16,13,9846
P00251542,F,18-25,11,16,13,6025
P00127242,M,18-25,1,16,13,15715
P00147942,M,18-25,1,16,13,15244
P00028042,M,18-25,1,16,13,8159
P00074442,M,18-25,1,16,13,11822
P00317942,F,18-25,8,16,13,7884
P00147342,M,18-25,15,16,13,12790
P00008842,M,18-25,1,16,13,15563
P00016042,M,18-25,1,16,13,11916
P00214242,M,18-25,1,16,13,7589
P00338442,F,18-25,1,16,13,11808
P00309142,M,18-25,1,16,13,8305
P00229742,M,18-25,1,16,13,11635
P00005042,M,18-25,6,16,13,19928
P00247542,M,26-35,8,16,13,5958
P00338442,M,26-35,1,16,13,11415
P00021242,M,26-35,8,16,13,6098
P00084442,F,26-35,13,16,13,758
P00208342,M,26-35,1,16,13,15524
P00044442,M,26-35,1,16,13,15469
P00147742,M,26-35,1,16,13,11925
P00147742,M,26-35,1,16,13,11420
P00187842,M,26-35,1,16,13,11430
P00162442,M,26-35,1,16,13,11404
P00317942,F,26-35,8,16,13,5878
P00127242,M,26-35,1,16,13,15734
P00042342,M,26-35,8,16,13,5996
P00117642,M,26-35,10,16,13,23603
P00050642,M,26-35,15,16,13,12850
P00001642,M,26-35,8,16,13,8045
P00304442,M,26-35,1,16,13,15479
P00133442,M,26-35,1,16,13,11601
P00159842,M,26-35,1,16,13,4251
P00317342,M,26-35,8,16,13,8140
P00005042,M,26-35,6,16,13,16128
P00044442,F,26-35,1,16,13,15688
P00293242,M,26-35,8,16,13,6018
P00046142,M,26-35,1,16,13,19091
P00048142,M,26-35,1,16,13,15800
P00004742,M,36-45,6,16,13,8481
P00198042,M,36-45,11,16,13,6108
P00112342,M,36-45,13,16,13,584
P00127242,M,36-45,1,16,13,7963
P00303342,M,36-45,1,16,13,11859
P00329742,F,36-45,6,16,13,12422
P00147942,M,36-45,1,16,13,19420
P00216142,M,36-45,1,16,13,19409
P00126142,M,36-45,8,16,13,7909
P00046142,M,36-45,1,16,13,15393
P00338442,M,36-45,1,16,13,11867
P00328142,M,36-45,8,16,13,5973
P00010842,M,36-45,8,16,13,6013
P00010842,M,36-45,8,16,13,9941
P00084642,M,36-45,13,16,13,929
P00009342,M,36-45,1,16,13,15492
P00267542,M,36-45,1,16,13,12111
P00061142,M,36-45,8,16,13,6187
P00127242,M,36-45,1,16,13,15244
P00084642,F,36-45,13,16,13,770
P00010842,F,36-45,8,16,13,9885
P00112342,F,36-45,13,16,13,959
P00140042,M,36-45,1,16,13,15544
P00198042,M,36-45,11,16,13,4681
P00327842,M,36-45,8,16,13,5881
P0097242,M,46-50,1,16,13,15686
P00216142,M,46-50,1,16,13,15333
P00001642,M,46-50,8,16,13,6129
P00165742,M,46-50,8,16,13,7994
P00338442,M,46-50,1,16,13,11693
P00010842,F,46-50,8,16,13,10022
P00139742,M,46-50,8,16,13,4039
P00332242,M,46-50,1,16,13,11476
P00361842,F,46-50,15,16,13,17320
P00078142,F,46-50,8,16,13,7890
P00303342,F,46-50,1,16,13,15739
P00304442,M,46-50,1,16,13,15378
P00132042,M,51-55,13,16,13,742
P00327842,M,51-55,8,16,13,7799
P00005042,M,51-55,6,16,13,8657
P00074442,M,51-55,1,16,13,11715
P00214242,M,51-55,1,16,13,7821
P00293242,M,55+,8,16,13,9859
P00160942,M,55+,1,16,13,15433
P00248542,M,55+,8,16,13,6078
P00051442,M,18-25,8,17,13,9879
P00284042,M,18-25,8,17,13,2304
P00071442,M,18-25,15,17,13,16651
P00192642,F,26-35,8,17,13,6171
P00117142,M,26-35,2,17,13,15903
P00120842,M,26-35,8,17,13,9894
P00120342,M,26-35,5,17,13,8637
P00115942,M,26-35,8,17,13,7908
P00051442,M,26-35,8,17,13,10024
P00176042,M,26-35,8,17,13,6146
P00051442,F,36-45,8,17,13,9735
P00175742,F,36-45,8,17,13,9956
P00115942,F,36-45,8,17,13,7773
P00120342,M,36-45,5,17,13,6923
P00101942,M,36-45,8,17,13,7995
